2016-10-30 17:15:53 +03:00, L:04.62%, H:03.42%, Type:NoMotion, Carrier:OK;
2016-10-30 17:15:55 +03:00, L:01.17%, H:00.00%, Type:NoMotion, Carrier:OK;
2016-10-30 17:15:56 +03:00, L:01.12%, H:00.00%, Type:NoMotion, Carrier:OK;
2016-10-30 17:15:58 +03:00, L:36.15%, H:24.94%, Type:Motion+-, Carrier:OK;
2016-10-30 17:16:00 +03:00, L:00.00%, H:99.99%, Type:Motion++, Carrier:OK;
2016-10-30 17:16:00 +03:00, L:99.99%, H:00.00%, Type:Motion--, Carrier:OK;
2016-10-30 17:16:02 +03:00, L:93.11%, H:99.99%, Type:Motion+-, Carrier:OK;
2016-10-30 17:16:06 +03:00, L:00.00%, H:99.99%, Type:Motion++, Carrier:OK;
2016-10-30 17:16:07 +03:00, L:00.00%, H:04.24%, Type:NoMotion, Carrier:OK;
2016-10-30 17:16:08 +03:00, L:99.99%, H:00.00%, Type:Motion--, Carrier:OK;
2016-10-30 17:16:09 +03:00, L:00.00%, H:99.99%, Type:Motion++, Carrier:OK;
2016-10-30 17:16:11 +03:00, L:99.99%, H:00.00%, Type:Motion--, Carrier:OK;
2016-10-30 17:16:12 +03:00, L:00.00%, H:99.99%, Type:Motion++, Carrier:OK;
2016-10-30 17:16:13 +03:00, L:76.42%, H:19.91%, Type:Motion--, Carrier:OK;
