DMY:13.03.2016 00.38.24, L:00.00, H:06.33;
DMY:13.03.2016 00.38.26, L:79.75, H:72.15;
DMY:13.03.2016 00.38.28, L:68.35, H:54.43;
DMY:13.03.2016 00.38.30, L:48.10, H:78.48;
DMY:13.03.2016 00.38.32, L:49.37, H:53.16;
DMY:13.03.2016 00.38.34, L:65.82, H:49.37;
DMY:13.03.2016 00.38.36, L:70.89, H:73.42;
DMY:13.03.2016 00.38.38, L:78.48, H:83.54;
DMY:13.03.2016 00.38.40, L:82.28, H:51.90;
DMY:13.03.2016 00.38.42, L:70.89, H:78.48;
DMY:13.03.2016 00.38.44, L:65.82, H:70.89;
DMY:13.03.2016 00.38.46, L:72.50, H:68.75;
DMY:13.03.2016 00.38.48, L:81.01, H:86.08;
DMY:13.03.2016 00.38.50, L:59.49, H:58.23;
DMY:13.03.2016 00.38.52, L:77.22, H:78.48;
DMY:13.03.2016 00.38.54, L:63.29, H:69.62;
