DMY:2016.06.02__16.59.53.4543, L:46.87%, H:00.00%; Type:Motion--, CarrierLevel:99,00%;
DMY:2016.06.02__16.59.54.1691, L:37.49%, H:44.22%; Type:Motion+-, CarrierLevel:99,00%;
DMY:2016.06.02__16.59.54.8486, L:43.73%, H:33.23%; Type:Motion+-, CarrierLevel:99,00%;
DMY:2016.06.02__16.59.55.5577, L:32.72%, H:56.21%; Type:Motion++, CarrierLevel:99,00%;
DMY:2016.06.02__16.59.56.1825, L:42.38%, H:19.71%; Type:Motion--, CarrierLevel:99,00%;
DMY:2016.06.02__16.59.56.9505, L:51.22%, H:50.13%; Type:Motion+-, CarrierLevel:99,00%;
DMY:2016.06.02__16.59.57.5783, L:19.93%, H:31.77%; Type:Motion+-, CarrierLevel:99,00%;
DMY:2016.06.02__16.59.58.3044, L:42.16%, H:29.38%; Type:Motion+-, CarrierLevel:99,00%;
DMY:2016.06.02__16.59.58.9539, L:37.10%, H:36.24%; Type:Motion+-, CarrierLevel:99,00%;
DMY:2016.06.02__16.59.59.6606, L:32.88%, H:44.64%; Type:Motion+-, CarrierLevel:99,00%;
DMY:2016.06.02__17.00.00.3863, L:44.51%, H:38.08%; Type:Motion+-, CarrierLevel:99,00%;
DMY:2016.06.02__17.00.01.0879, L:45.25%, H:39.46%; Type:Motion+-, CarrierLevel:99,00%;
DMY:2016.06.02__17.00.01.7181, L:16.43%, H:06.99%; Type:Motion+-, CarrierLevel:99,00%;
